A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
#,#,0.0,#,1.0,0.0,0.0,#,0.0,1.0,1.0,0.0,0.04560052397525227,0.000625,0.0,661.74208,385.0943146666667,1.1807677018113462e-09,1,26.0640128,2355,0,0.6363636363636364,0.00030705448774955024,12,23
#,#,1.0,#,0.0,1.0,0.0,#,0.0,1.0,1.0,1.0,0.09723204752855176,0.00070364727515351,0.0,388.22912,401.51108266666665,9.58323886645408e-10,2,25.06746368,2747,1,0.6363636363636364,0.0005906287169597196,12,24
1.0,1.0,#,#,0.0,#,#,0.0,0.0,#,1.0,0.0,0.006239663132003002,0.0013602749751811013,0.0,464.87844292310075,400.55155586214465,9.698574026027085e-10,1,28.133862465388287,2963,1,0.5454545454545454,0.0034349687549045244,24,44
1.0,1.0,1.0,#,0.0,0.0,#,#,#,#,0.0,0.0,0.36521297118321944,inf,0.16666666666666666,1000.0,0.0,1.0,3,25.784323818751986,2838,2,0.5454545454545454,0.0009112785973772332,30,44
#,#,1.0,0.0,0.0,1.0,0.0,#,0.0,1.0,1.0,0.0,0.1892924095765708,-0.0011942675159235668,-0.0,872.0,153.6,1.169617672033087e-07,1,22.288,2384,3,0.7272727272727273,0.0002625700990663255,7,12
1.0,1.0,#,#,1.0,1.0,0.0,#,0.0,0.0,0.0,1.0,0.33514028890622194,inf,0.5,0.0,0.0,1.0,1,22.68,2652,6,0.7272727272727273,0.0002671881661353312,6,13
1.0,#,1.0,1.0,1.0,1.0,#,1.0,#,0.0,#,0.0,0.09828377128742524,0.0006249999999999999,0.0,451.84,372.992,1.3851678871605599e-09,1,16.54656,2905,6,0.6363636363636364,0.00019493143837073307,9,25
1.0,#,0.0,#,#,0.0,0.0,1.0,0.0,#,1.0,0.0,0.0603148271468359,0.0006859361340981198,0.0,411.1635456,369.54349568,1.451015950767759e-09,1,28.805748940799997,2355,7,0.6363636363636364,0.0003393542871978444,14,25
#,1.0,1.0,1.0,0.0,0.0,0.0,#,#,#,0.0,1.0,0.3891626634454485,inf,0.16666666666666666,0.0,0.0,1.0,2,19.75,1668,8,0.6363636363636364,0.00046534094190236254,4,24
0.0,#,1.0,#,#,1.0,#,0.0,1.0,1.0,0.0,1.0,0.045120135293654565,0.0006250000000000001,0.0,880.4623359999999,230.68671999999998,1.530689240560855e-08,1,28.356261376,2571,9,0.6363636363636364,0.0003340589715832259,13,27
1.0,0.0,#,1.0,0.0,#,1.0,#,0.0,1.0,#,1.0,0.1308273524117514,0.0005869646882043577,0.0,564.8,353.28000000000003,1.8172084241518614e-09,1,33.2096,1946,10,0.6363636363636364,0.00039123510238482786,8,24
#,#,0.0,1.0,0.0,0.0,1.0,1.0,#,1.0,1.0,1.0,0.08709988224566996,-0.0010959784895955109,-0.0,815.6800000000001,267.6053333333333,7.2866209309119e-09,1,23.16,2059,11,0.7272727272727273,0.00027284294213819534,9,13
#,1.0,#,#,0.0,0.0,#,0.0,1.0,#,0.0,0.0,0.01603633877750844,0.0022917636142972295,0.0,927.296955143221,181.70069118364046,5.0491364014067995e-08,1,23.38134113334011,2989,12,0.5454545454545454,0.0002754505140741504,31,45
1.0,0.0,#,1.0,1.0,0.0,0.0,#,#,0.0,#,1.0,0.041435124535797944,0.000625,0.0,588.22912,399.228928,9.860296786458793e-10,1,23.13794816,2569,13,0.6363636363636364,0.00027258315418892244,12,24
#,#,#,1.0,#,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.012812976293990948,0.0006304770666542579,0.015197806527766233,534.74871296,426.0673344853333,7.122112081975459e-10,1,20.83360372736,2720,16,0.6363636363636364,0.0002454361716888677,15,26
#,1.0,#,#,0.0,0.0,0.0,0.0,1.0,#,1.0,1.0,0.11133674952170204,0.0006226786539779701,0.0,507.456,360.8576,1.6342583706747609e-09,1,26.622976,2840,16,0.6363636363636364,0.00031363951210339224,11,25
#,#,0.0,0.0,0.0,#,0.0,#,#,1.0,0.0,1.0,0.005250661732629102,0.0013125000000000003,0.0,985.9262511644672,54.41849549739352,2.0954019630019316e-05,1,26.41231718603162,2692,17,0.5454545454545454,0.003832190044243202,20,45
#,0.0,1.0,#,1.0,#,1.0,1.0,#,1.0,#,0.0,0.0375518496015069,0.0014206379615002765,0.0,423.88070400000004,419.82621013333335,7.667473038598088e-10,1,21.850967552,2525,20,0.5454545454545454,0.00025742151448419345,13,48
