Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
0,0.0,0,2,2,2,1,0.0,0,0,0,2,0,0.06699919700622559,0.0,0.0,0.0,0.0,0.0
1,0.5,0,3,3,2,1,1.0,0,0,0,1,0,0.06699919700622559,0.0,0.0,0.0,0.0,0.0
2,0.3333333333333333,0,4,4,2,1,0.0,0,0,0,1,0,0.06699919700622559,0.0,0.0,0.0,0.0,0.0
3,0.5,0,6,6,2,1,0.0,0,0,0,2,0,0.06699919700622559,0.0,0.0,0.0,0.0,0.0
4,0.4,0,8,8,2,1,0.0,0,0,0,2,0,0.06699919700622559,0.0,0.0,0.0,0.0,0.0
5,0.5,0,10,10,2,1,0.0,0,0,0,2,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
6,0.5,0,12,12,2,1,0.0,0,0,0,2,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
7,0.5,0,14,14,2,1,0.0,0,0,0,2,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
8,0.5714285714285714,0,15,15,2,1,4.0,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
9,0.5714285714285714,0,16,16,3,2,2.5,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
10,0.625,0,17,17,2,1,5.0,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
11,0.625,0,18,18,2,1,0.0,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
12,0.6666666666666666,0,19,19,3,2,6.5,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
13,0.7,0,20,20,3,2,7.5,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
14,0.7,0,21,21,2,1,9.0,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
15,0.7272727272727273,0,22,22,2,1,11.0,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
16,0.7272727272727273,0,24,24,2,1,0.0,0,0,0,2,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
17,0.75,0,25,25,2,1,1.0,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
18,0.7692307692307693,0,26,26,3,1,2.0,0,0,0,1,0,0.06800127029418945,0.0,0.0,0.0,0.0,0.0
19,0.7692307692307693,0,27,27,4,1,7.0,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
20,0.7857142857142857,0,28,28,2,1,0.0,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
21,0.7857142857142857,0,29,29,2,1,21.0,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
22,0.8,0,30,30,3,1,0.0,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
23,0.8,0,32,32,2,1,0.0,0,0,0,2,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
24,0.8125,0,34,34,2,1,0.0,0,0,0,2,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
25,0.8125,0,35,35,2,1,22.0,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
26,0.8235294117647058,0,36,36,4,3,2.333333333333332,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
27,0.7777777777777778,0,37,37,2,1,0.0,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
28,0.7894736842105263,0,39,39,2,1,0.0,0,0,0,2,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
29,0.7894736842105263,0,40,40,2,1,0.0,0,0,0,1,0,0.0690009593963623,0.0009996891021728516,0.0,0.0,0.0,0.0
30,0.7894736842105263,0,41,41,2,1,0.0,0,0,0,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
31,0.7894736842105263,0,43,44,2,1,25.0,0,0,1,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
32,0.75,0,44,45,2,1,0.0,0,0,0,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
33,0.7142857142857143,0,45,46,4,3,20.333333333333336,0,0,0,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
34,0.7272727272727273,0,46,47,5,2,4.5,0,0,0,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
35,0.7391304347826086,0,47,48,3,2,15.5,0,0,0,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
36,0.7391304347826086,0,49,50,2,1,0.0,0,0,0,2,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
37,0.7083333333333334,0,50,51,5,3,21.666666666666664,0,0,0,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
38,0.68,0,51,52,2,1,33.0,0,0,0,1,0,0.07000041007995605,0.0009996891021728516,0.0,0.0,0.0,0.0
39,0.68,0,52,53,2,1,0.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
40,0.68,0,53,54,3,1,0.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
41,0.6538461538461539,0,54,55,2,1,25.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
42,0.6296296296296297,0,55,56,2,1,37.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
43,0.6296296296296297,0,56,57,3,1,0.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
44,0.6296296296296297,0,57,58,4,1,13.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
45,0.6296296296296297,0,58,59,3,1,40.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
46,0.6296296296296297,0,59,60,3,1,0.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
47,0.6071428571428571,0,60,61,3,1,31.0,0,0,0,1,0,0.07100057601928711,0.0009996891021728516,0.0,0.0,0.0,0.0
48,0.6071428571428571,0,63,64,3,2,28.0,0,1,0,1,0,0.07200050354003906,0.0019996166229248047,0.0,0.0,0.0,0.0
49,0.6071428571428571,0,64,65,4,1,14.0,0,0,0,1,0,0.07200050354003906,0.0019996166229248047,0.0,0.0,0.0,0.0
50,0.6071428571428571,0,65,66,2,1,0.0,0,0,0,1,0,0.07200050354003906,0.0019996166229248047,0.0,0.0,0.0,0.0
51,0.6071428571428571,0,66,67,2,1,0.0,0,0,0,1,0,0.07200050354003906,0.0019996166229248047,0.0,0.0,0.0,0.0
