Specified Values,Specified Attribute Names,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_2, R_1, R_2, R_3, R_4, R_5, R_6, R_7",1.0,0.10649600114022463,500.0,333.3333333333333,2.4300000000000017e-09,1,14.25,3319,3,0.8181818181818182,0.0005003506528903515,4,10
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, R_0, R_1, R_3, R_4, R_5, R_7",1.0,0.028872922642573715,830.0569600000001,235.38892799999996,1.3837889066977111e-08,1,19.197352959999996,4443,5,0.7272727272727273,0.0006740637254247382,12,20
"0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, R_0, R_3, R_4, R_5, R_6, R_7",1.0,0.055295992170682255,500.0,333.3333333333333,2.4300000000000017e-09,1,18.0,4834,13,0.7272727272727273,0.0006320218773351808,4,21
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_2, R_1, R_2, R_3, R_5, R_6",1.0,0.0058742221448077605,570.1821931520001,428.0000697685333,6.96274998400837e-10,1,19.065893486592,4661,14,0.6363636363636364,0.0006694478774704706,16,44
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, R_0, R_1, R_4, R_5, R_6",1.0,0.3445166790525361,0.0,0.0,1.0,1,25.665280000000003,4814,21,0.6363636363636364,0.0009011676915518373,9,40
"1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_1, R_4, R_5, R_7",1.0,0.008550751270665628,805.789750087076,317.62174887100565,3.0934908547819668e-09,1,18.78676560458758,4968,26,0.6363636363636364,0.0006596470481370803,30,42
"1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_3, R_4",1.0,0.4571879336936715,0.0,0.0,1.0,5,19.67547756476047,4850,28,0.45454545454545453,0.0034542589633183734,39,161
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_1, A_2, R_0, R_1, R_2, R_4, R_5",1.0,0.017761362595533237,808.0908866355201,292.2759040532479,4.688510979570826e-09,1,28.34754425012224,4722,29,0.6363636363636364,0.000995348229711354,18,39
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_4",1.0,0.45366753141686494,0.0,0.0,1.0,2,18.501592714364943,4870,32,0.5454545454545454,0.0012992679290026485,32,78
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_4, R_5, R_6, R_7",1.0,0.32645329932321665,1000.0,0.0,1.0,1,5.333333333333334,36,36,0.8181818181818182,0.0001872657414326462,3,11
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, R_1, R_2, R_4, R_5, R_6, R_7",0.0,0.01645440823883409,323.84000000000003,367.53066666666666,1.4911869290275998e-09,1,22.06464,4692,43,0.7272727272727273,0.0007747408441958291,9,19
"0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_4",0.0,0.635445937141032,0.0,0.0,1.0,7,18.089583885760625,4771,74,0.5454545454545454,0.004446171631879704,24,74
"1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_3, R_4, R_5, R_7",1.0,0.3052408310291605,1000.0,0.0,1.0,2,13.524947968000001,4736,77,0.7272727272727273,0.0009497847783995556,14,21
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_2, R_0, R_1, R_2, R_3, R_5, R_6",0.0,0.10248476752465019,800.0,190.0,4.038610734061926e-08,1,32.4,3838,108,0.7272727272727273,0.0011376393792033254,5,19
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_2, R_1, R_3, R_6, R_7",0.0,0.22093017786384855,1000.0,0.0,1.0,1,10.812892079392359,4581,356,0.5454545454545454,0.000379665797302237,55,73
"0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, R_2, R_4, R_5, R_6, R_7",1.0,0.024314768619989376,583.37847296,399.96681966933335,9.769676341463944e-10,1,26.29367455744,4133,371,0.6363636363636364,0.0009232320864351949,15,35
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_4, R_5, R_6",1.0,0.010464169551278903,512.0921599999999,415.3173333333333,8.092816922946884e-10,1,20.217436160000002,4781,442,0.6363636363636364,0.0007098812198192984,12,34
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_1, R_1, R_2, R_4, R_5, R_6",0.0,0.00798462307495353,627.8073646978695,383.63817828015584,1.2033470557106795e-09,1,16.369709757484184,4476,473,0.5454545454545454,0.0005747785940198435,23,71
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_2, R_5, R_7",0.0,0.23291409815953645,0.0,0.0,1.0,2,21.29068595885716,4786,477,0.5454545454545454,0.0014951310343856309,22,73
"1.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_2, R_3, R_4",0.0,0.4083588532967594,0.0,0.0,1.0,2,19.376720375808,4906,590,0.5454545454545454,0.0013607234653907803,16,69
"0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_2, R_3",1.0,0.7801939679135097,0.0,0.0,1.0,10,19.888221596746927,4872,608,0.45454545454545453,0.006983217305796712,41,139
"0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_2, R_0, R_1, R_2, R_3, R_5, R_7",1.0,0.004376169906202028,467.55989504,427.2281954986667,7.025875762007003e-10,1,20.861508136959998,4740,644,0.6363636363636364,0.0007324960853758116,15,35
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_5",1.0,0.16394145065100693,0.0,0.0,1.0,1,25.561076633600003,4789,693,0.5454545454545454,0.000897508868926461,14,69
"1.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_3, R_4, R_5",1.0,0.17639059102288518,0.0,0.0,1.0,1,19.4885697880064,4542,694,0.5454545454545454,0.0006842890257774163,17,68
"1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_6, R_7",1.0,0.20759816833926553,0.0,0.0,1.0,4,24.208784071737867,4970,808,0.45454545454545453,0.00340010692378262,36,131
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_2, R_7",0.0,0.6022300537716749,0.0,0.0,1.0,11,19.31254933086021,4786,861,0.45454545454545453,0.007459193918133564,30,129
"0.0, 1.0, 1.0, 1.0, 1.0","A_1, R_0, R_1, R_3, R_4",0.0,0.008038175218059357,249.8037700975285,360.74263872573067,1.6368640538888208e-09,1,14.750471155015623,4999,877,0.45454545454545453,0.0005508453014468062,40,129
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_2, R_6",0.0,0.06433327229347868,0.0,0.0,1.0,1,32.34767386170124,4988,892,0.5454545454545454,0.0011358020867499208,22,64
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, R_0, R_2, R_3, R_7",0.0,0.026102179368741287,935.590804347916,148.96915524683672,1.363070205131047e-07,3,13.485813498607644,4995,899,0.5454545454545454,0.0014205548607970212,38,64
"0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_3, R_4",0.0,0.1776937445949829,0.0,0.0,1.0,2,19.064064000000002,4771,931,0.6363636363636364,0.001338767279879782,10,31
"0.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_4",1.0,0.0556324649438815,1000.0,0.0,1.0,1,25.39863386492955,4577,937,0.5454545454545454,0.0008918051253923152,36,63
"0.0, 1.0, 1.0, 1.0","A_0, A_1, R_2, R_3",1.0,0.4400621642698358,1000.0,0.0,1.0,8,27.94438410353598,4991,985,0.36363636363636365,0.007849538712040976,175,251
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_3",1.0,0.23107763171804127,0.0,0.0,1.0,4,28.811704772613425,4976,990,0.5454545454545454,0.0040465839421364724,28,61
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_1, R_2, R_4, R_7",1.0,0.2870121116578772,1000.0,0.0,1.0,1,14.398311072240762,4973,1016,0.6363636363636364,0.0005055581996851959,21,29
"0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_3, R_4, R_5, R_6",1.0,0.04370367185079869,1000.0,0.0,1.0,1,35.181977599999996,4597,1025,0.7272727272727273,0.0012353210850620153,12,15
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_4, R_6, R_7",1.0,0.21119595412628064,1000.0,0.0,1.0,2,21.336512041226083,4773,1034,0.5454545454545454,0.0014983491551200444,52,61
"0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_3",1.0,0.7177377040354703,1000.0,0.0,1.0,15,27.815244539066335,4991,1053,0.36363636363636365,0.014649869226764868,176,247
